Date,Open,High,Low,Close,Adj Close,Volume
2020-03-01,95.324501,99.816498,81.301498,97.486000,97.486000,3276182000
2020-04-01,96.648499,123.750000,94.457497,123.699997,123.699997,2492196000
2020-05-01,116.839996,126.272499,112.819000,122.118500,122.118500,1651688000
2020-06-01,122.400002,139.800003,121.856499,137.940994,137.940994,1756366000
2020-07-01,137.899506,167.214493,137.699997,158.233994,158.233994,2550040000
2020-08-01,159.025497,174.750000,153.649994,172.548004,172.548004,1670332000
2020-09-01,174.479004,177.612503,143.550003,157.436493,157.436493,2317986000
2020-10-01,160.399994,174.811996,150.949997,151.807495,151.807495,2324522000
2020-11-01,153.087006,168.339996,147.505997,158.401993,158.401993,1816210000
2020-12-01,159.425003,167.532501,153.641006,162.846497,162.846497,1551124000
2021-01-01,163.500000,168.194504,154.300003,160.309998,160.309998,1430578000
2021-02-01,162.117996,171.699997,151.835007,154.646500,154.646500,1442140000
2021-03-01,156.394501,159.100006,144.050003,154.703995,154.703995,1563760000
2021-04-01,155.897003,177.699997,155.777496,173.371002,173.371002,1536792000
2021-05-01,174.236496,174.332504,156.368500,161.153503,161.153503,1503678000
2021-06-01,162.175003,176.242996,158.610001,172.007996,172.007996,1340220000
2021-07-01,171.730499,188.654007,165.348999,166.379501,166.379501,1674586000
2021-08-01,167.654999,173.628998,158.787994,173.539505,173.539505,1256964000
2021-09-01,174.820007,177.499496,163.699493,164.251999,164.251999,1250554000
2021-10-01,164.450500,173.949997,158.812500,168.621506,168.621506,1273466000
2021-11-01,168.089996,188.107498,164.177505,175.353500,175.353500,1515990000
2021-12-01,177.250000,177.994003,165.195007,166.716995,166.716995,1287634000
2022-01-01,167.550003,171.399994,135.352005,149.573502,149.573502,1524654000
2022-02-01,150.000000,163.834503,138.332993,153.563004,153.563004,1689604000
2022-03-01,152.732498,170.831497,133.572495,162.997498,162.997498,1628486000
