Country,2000,2015
Antigua and Barbuda,56,58
Argentina,69,66
Bahamas,83,58
Barbados,73,66
Belize,73,60
Bolivia,78,82
Brazil,76,62
Canada,85,80
Chile,64,51
Colombia,96,88
Costa Rica,88,86
Cuba,83,73
Ecuador,80,63
El Salvador,78,58
United States of America,90,53
Grenada,63,74
Guatemala,61,50
Guyana,71,83
Haiti,70,96
Honduras,57,78
Jamaica,90,96
Mexico,86,62
Nicaragua,74,68
Panama,75,98
Paraguay,82,79
Peru,66,71
Dominican Republic,60,56
Saint Vincent and the Grenadines,65,76
Saint Lucia,89,99
Suriname,78,84
Trinidad and Tobago,100,62
Uruguay,99,55
Venezuela,75,71
