Country,2000,2015
Antigua and Barbuda,77,71
Argentina,52,74
Bahamas,50,63
Barbados,82,56
Belize,73,84
Bolivia (Plurinational State of),70,66
Brazil,84,68
Canada,77,50
Chile,68,68
Colombia,71,71
Costa Rica,64,66
Cuba,69,73
Ecuador,53,81
El Salvador,54,51
United States of America,75,67
Grenada,80,83
Guatemala,79,69
Guyana,85,68
Haiti,85,76
Honduras,80,68
Jamaica,83,70
Mexico,73,51
Nicaragua,50,69
Panama,51,67
Paraguay,50,83
Peru,80,65
Dominican Republic,76,67
Saint Vincent and the Grenadines,60,58
Saint Lucia,66,51
Suriname,77,79
Trinidad and Tobago,71,84
Uruguay,53,82
Venezuela (Bolivarian Republic of),78,53
