Country,2000,2015
Antigua and Barbuda,71,56
Argentina,57,51
Bahamas,69,70
Barbados,75,62
Belize,65,63
Bolivia (Plurinational State of),57,70
Brazil,66,54
Canada,83,81
Chile,56,56
Colombia,75,68
Costa Rica,58,79
Cuba,82,82
Ecuador,81,82
El Salvador,78,59
United States of America,66,65
Grenada,84,81
Guatemala,52,63
Guyana,83,82
Haiti,79,55
Honduras,85,60
Jamaica,57,82
Mexico,66,66
Nicaragua,57,53
Panama,65,58
Paraguay,64,72
Peru,69,65
Dominican Republic,64,65
Saint Vincent and the Grenadines,75,78
Saint Lucia,59,57
Suriname,61,54
Trinidad and Tobago,74,76
Uruguay,76,75
Venezuela (Bolivarian Republic of),66,62
