#,¿Tienes una mascota?,Perro,Gato,Pájaro,Pez,Conejo,Hámster,Other,¿Cuánto dinero gastas al mes en tu mascota?,¿Cuánto tiempo (en horas) le dedicas a tu mascota semanalmente?,No me gustan,No quiero tener,Poco espacio en el hogar,Fobias,Poco dinero,Other,Ninguna,Perro,Gato,Pájaro,Pez,Conejo,Hámster,Other,¿Cuánto dinero gastarías al mes en tu mascota?,¿Cuánto tiempo (en horas) le dedicarías a tu mascota semanalmente?,Start Date (UTC),Submit Date (UTC),Network ID,Tags
eme78pd1a6xcpqu3eme76wgs5kdyta8f,Sí,Perro,Gato,,,,,,$60.000 - $80.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-21 14:44:09,2023-04-21 14:44:27,069f32d39d,
kn6ck9l3sv6f29qyvht6kn6ck4uroadc,Sí,Perro,,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 04:02:47,2023-04-21 04:03:08,0be96d9d35,
hf4ykm4hgre8n5hgyuhf4yk6v297bgbk,Sí,Perro,,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 03:22:34,2023-04-21 03:22:55,bcbd2af321,
8rz2zhvbh7yyi4h362p8rz2zh23c6eh3,Sí,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 02:13:39,2023-04-21 02:14:11,0d0cdbf5ac,
md56ekqx26fin9ao83zmd56ek9560tub,Sí,,Gato,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 02:00:53,2023-04-21 02:01:35,27409bd895,
1oc04l0aqzmbaznywzgd1oc04l0dcwwp,Sí,Perro,,,,,,,$40.000 - $60.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 01:06:03,2023-04-21 01:06:26,a167a0d013,
ohmzdqgjjjbk8vzybrohmxgt00mjkuxt,Sí,Perro,,,,,,,$60.000 - $80.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-21 00:51:04,2023-04-21 00:51:22,e5c06a11bb,
49b9k1dsa3gppliy4npat49b9k1gb1qy,Sí,Perro,,,,,,,$80.000 - $100.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-21 00:39:42,2023-04-21 00:46:03,9f8c55b9be,
z9vsjsiz14olfrj05n3oez9vsjsisujs,Sí,,Gato,,,,,,Más de $100.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-19 05:13:47,2023-04-19 05:14:04,383c769752,
2soyfz3urlcao1nr2soyfbjfi7jqbnzx,Sí,,Gato,,,,,,$20.000 - $40.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-18 02:20:39,2023-04-18 02:21:08,9fb1d6ad28,
ftyy4n6p04w80l2z94it2ftyy4nxzo2z,No,,,,,,,,,,,,,,,Poco espacio en el hogar y poco tiempo para dedicarle los cuidados y atenciones que se merece,,Perro,,,,,,,$60.000 - $80.000,3 - 6 horas,2023-04-18 01:17:51,2023-04-18 01:20:22,2e8e2dbe74,
phprs0fln9i8g5dgq1phprszkfkpvhyc,Sí,,Gato,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 20:28:38,2023-04-17 20:28:54,f9e62dec09,
c0qwsql9w2xfti5dzmc0qwshc4unpnp8,Sí,Perro,,,,,,,$0 - $20.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 20:09:40,2023-04-17 20:09:56,e4bb8a6192,
v3f0vcy1nd2vxs06spv3f0vc3w6s7by4,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 19:57:54,2023-04-17 19:58:10,f0f468bc24,
nssix7m92xo682mznssix7mihxf0zi70,Sí,Perro,Gato,,,,,,$0 - $20.000,0 - 3 horas,,,,,,,,,,,,,,,,,2023-04-17 18:17:13,2023-04-17 18:17:48,6e2a8b27b9,
kcr7gamwjo3lk263k8i5vkcr7gcziarq,Sí,,Gato,,,,Hámster,,$60.000 - $80.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 18:04:41,2023-04-17 18:04:58,79d5ef9e81,
hp0tv043oww874vbntrn2weishp0tv04,Sí,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 18:03:08,2023-04-17 18:03:44,79d5ef9e81,
9dicxk1twb4t58xupr9dicxzrfq89tvb,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 17:09:39,2023-04-17 17:12:07,35e8cc4e73,
70s4xhor7ele64j6hoel70s4xndcawwb,No,,,,,,,,,,,,Poco espacio en el hogar,,,,,Perro,Gato,Pájaro,Pez,,,Ornitorrinco,Más de $100.000,0 - 3 horas,2023-04-17 17:03:45,2023-04-17 17:05:53,1d1caea1a0,
itjpe1ik86utitjpo8qd2hnt2i7nz54u,No,,,,,,,,,,No me gustan,,,,,,Ninguna,,,,,,,,,,2023-04-17 16:10:38,2023-04-17 16:10:50,2f2c65187a,
muwcby41pq3bt3zmshphmuwcbyjezirb,Sí,Perro,Gato,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 14:24:53,2023-04-17 14:25:20,8e072e32d4,
koyfmqa6jr34scribxbikoyf53vcemp6,No,,,,,,,,,,,,,,,Mi papás no quieren,,Perro,,,,,,,$20.000 - $40.000,3 - 6 horas,2023-04-17 13:54:15,2023-04-17 13:55:13,cf7bdf76a6,
vd04aztaat3xrvtlhh1pn3vd04a4ae1t,Sí,Perro,Gato,,Pez,,,,$20.000 - $40.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 13:45:50,2023-04-17 13:46:23,aa4e46f0f0,
mdqkeh85f8xdjqy8hmdqkenxawzgxho0,Sí,,Gato,,,,,,$60.000 - $80.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 12:12:25,2023-04-17 12:13:06,f7d2037e56,
qhncwbbk3hbl1fsqhncwfz9lip8p54am,Sí,,Gato,,,,,,$0 - $20.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 12:02:10,2023-04-17 12:02:53,07cd1daa76,
evdvkqmipqdqpdv186md9evdvkqpvzn9,No,,,,,,,,,,No me gustan,,,,,,Ninguna,,,,,,,,,,2023-04-17 11:56:07,2023-04-17 11:56:27,1c339aacf9,
e66n2cljt73le683asnba17mneak6m0a,Sí,Perro,,,,Conejo,,,$60.000 - $80.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 11:45:09,2023-04-17 11:45:41,37ee9aa737,
lugju0rwmss6mb4c1zmqoqdky2ebujl4,Sí,Perro,,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 10:33:20,2023-04-17 10:33:47,8db91ae150,
mn60d0v4myj4iealw5mn60d0skuns64k,Sí,Perro,,,,,,,$40.000 - $60.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 10:16:42,2023-04-17 10:17:21,e02f474612,
ds7ksidf1zh57xoqds77lwu59cnprdg6,No,,,,,,,,,,,,,,,Poco espacio en mi hogar,,Perro,,,,,,,$80.000 - $100.000,Más de 6 horas,2023-04-17 07:03:19,2023-04-17 07:04:29,0e5c13fc33,
mmqgzmleceixzmmqgyweu6kwid5ksvhb,Sí,Perro,,,,,,,Más de $100.000,3 - 6 horas,,,,,,,,,,,,,,,,,2023-04-17 05:13:09,2023-04-17 05:13:33,6894dc2cad,
20yz9bx5rdvg22mqy820yze0cyny04e7,No,,,,,,,,,,,,,,,Poco tiempo para cuidarla,,,Gato,,Pez,Conejo,,,$20.000 - $40.000,3 - 6 horas,2023-04-17 04:51:42,2023-04-17 04:53:03,f845c9eff0,
45ob2xl7mokzj1fho5ox45ob2xl24o5t,Sí,Perro,Gato,,,,,,$20.000 - $40.000,Más de 6 horas,,,,,,,,,,,,,,,,,2023-04-17 04:01:39,2023-04-17 04:02:25,b14807d8ec,
